brand;name;type;olfactive-family;pyramid_note;top_notes;middle_notes;base_notes;recommended_usage
Chanel;Boy;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Lavender, Grapefruit, Lemon;Geranium, Orange Blossom, Rose;White Musk, Heliotrope, Sandalwood, Vanilla, Oakmoss, Tonka Bean;15-20%
Bvlgari;Bvlg. Pour Homme;Eau de Toilette;Woody, Floral, Musk;Top/Middle/Base;Tea, Aldehydes, Bergamot, Lavender, Nutmeg, Orange Blossom, Mandarin Orange;Pepper, Iris, Guaiac Wood, Rosewood, Coriander, Geranium, Cyclamen, Cardamom, Carnation;Musk, Vetiver, Cedarwood, Oakmoss, Amber, Tonka Bean;13-15%
Maison Margiela;By the Fireplace;Eau de Toilette;Woody;Top/Middle/Base;Clove, Pink Pepper, Orange Blossom;Chestnut, Guaiac Wood, Juniper Berry;Vanilla, Peru Balsam, Cashmeran;12-14%
Carolina Herrera;C.H. Men;Eau de Toilette;Spicy, Oriental;Top/Middle/Base;Bergamot, Grapefruit, Grass;Jasmine, Nutmeg, Saffron, Violet, Woody Notes;Amber, Leather, Oakmoss, Sandalwood, Suede, Sugar, Vanilla, Vetiver;15%
Calvin Klein;C.K. One;Eau de Toilette;Citrus, Aromatic;Top/Middle/Base;Bergamot, Cardamom, Green Notes, Lemon, Mandarin Orange, Papaya, Pineapple;Freesia, Jasmine, Lily-of-the-valley, Nutmeg, Orris Root, Rose, Violet;Amber, Cedarwood, Green Notes, Green Tea, Musk, Oakmoss, Sandalwood;15%
Yves Saint Laurent;Caban;Eau de Parfum;Oriental, Woody;Top/Middle/Base;Elemi, Pink Pepper, Black Pepper;Osmanthus, Olibanum;Tonka Bean, Sandalwood, Patchouli;15-16%
Louis Vuitton;Cactus Garden;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Bergamot;Lemongrass;Mate;20%
Tom Ford;Café Rosé;Eau de Parfum;Floral, Chypre;Top/Middle/Base;Black Pepper, Rose de Mai, Saffron;Bulgarian Rose, Coffee, Turkish Rose;Amber, Incense, Patchouli, Sandalwood;15-20%
Tom Ford;Café Rose 2023;Eau de Parfum;Oriental, Floral;Top/Middle/Base;Turkish Rose, Coffee;Bulgarian Rose, Patchouli, Cardamom, Coriander, Ylang-Ylang;Olibanum, Sandalwood;15-18%
Parfums de Marly;Carlisle;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Nutmeg, Green Apple, Saffron;Tonka Bean, Rose, Osmanthus, Davana;Patchouli, Vanilla, Opoponax;20%
Parfums de Marly;Carmina;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Black Cherry, Saffron, Pink Pepper;Rose de Mai, Peony, Violet, Cashmere Wood;Musk, Ambroxan, Myrrh, Frankincense;20%
Frederic Malle;Carnal Flower;Eau de Parfum;Floral;Top/Middle/Base;Bergamot, Eucalyptus, Melon;Tuberose, Jasmine, Orange Blossom, Ylang-Ylang;Coconut, White Musk;20%
Le Labo;Cedrat 37;Eau de Parfum;Citrus;Top/Middle/Base;Citron;Ginger;Woody Notes, Musk, Ambergris;20%
Mancera;Cedrat Boise;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Bergamot, Black Currant, Sicilian Lemon, Spicy Notes;Fruity Notes, Patchouli, Water Jasmine;Cedarwood, Leather, Oakmoss, Sandalwood, Vanilla, White Musk;17-18.5%
Acqua di Parma;Cedro di Taormina;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Basil, Citruses, Petitgrain;Black Pepper, Lavender;Labdanum, Vetiver, Virginian Cedarwood;15%
Xerjoff;Centaurus;Eau de Parfum;Woody, Amber, Spicy;Top/Middle/Base;Cinnamon, Tobacco, Cardamom, Pink Pepper;Sandalwood, Patchouli, Heliotrope, Jasmine, Geranium;Benzoin, Bourbon Vanilla, Tolu Balsam, Tonka Bean, Ambroxan;15-18%
Tom Ford;Champaca Absolute;Eau de Parfum;Oriental, Floral;Top/Middle/Base;Cognac, Broom, Bergamot;Champaca, Orchid, Jasmine, Violet;Marron Glacé, Vanilla, Sandalwood;14-17%
Chanel;Chance EDP;Eau de Parfum;Chypre, Floral;Top/Middle/Base;Pink Pepper;Jasmine, Iris;Patchouli, Musk, Vanilla;18-20%
Serge Lutens;Chergui;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Hay, Iris, Rose;Frankincense, Tobacco, Honey;Musk, Sandalwood, Tobacco, Amber;20-22%
Tom Ford;Cherry Smoke;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Sour Cherry, Saffron;Leather, Olive, Osmanthus, Apricot;Smoke, Woody Notes, Cypriol;20%
ChloÃ©;Chloe EDP;Eau de Parfum;Floral;Top/Middle/Base;Freesia, Lychee, Peony;Lily-of-the-valley, Magnolia, Rose;Amber, Cedarwood;15-20%
Azzaro;Chrome;Eau de Toilette;Citrus, Aromatic;Top/Middle/Base;Bergamot, Lemon, Neroli, Pineapple, Rosemary;Coriander, Cyclamen, Jasmine, Oakmoss;Cardamom, Cedarwood, Musk, Oakmoss, Rosewood, Sandalwood, Tonka Bean;15%
Le Labo;Citron 28;Eau de Parfum;Woody, Floral;Top/Middle/Base;Lemon, Ginger;Jasmine;Musk, Cedarwood;20-25%
Louis Vuitton;City of Stars;Eau de Parfum;Citrus, Floral;Top/Middle/Base;Lime, Blood Orange, Red Mandarin, Lemon, Bergamot;Tiare;Powdery Notes, Musk, Sandalwood;18-20%
Coach;Coach Men;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Pear, Kumquat, Bergamot, Lavender, Grapefruit;Cardamom, Geranium, Coriander;Ambergris, Suede, Amberwood, Vetiver;13%
Chanel;Coco Mademoiselle;Eau de Parfum;Floral;Top/Middle/Base;Bergamot, Mandarin Orange, Orange, Orange Blossom;Jasmine, Mimosa, Turkish Rose, Ylang-Ylang;Opoponax, Patchouli, Tonka Bean, Vanilla, Vetiver, White Musk;17-20%
Chanel;Coco Mademoiselle Intense;Eau de Parfum;Amber, Woody;Top/Middle/Base;Bergamot, Lemon, Sicilian Orange;Fruity Notes, Jasmine, Rose;Labdanum, Patchouli, Tonka Bean, Vanilla, White Musk;20-25%
Chanel;Coco Noir;Eau de Parfum;Amber, Woody;Top/Middle/Base;Grapefruit, Bergamot, Orange;Rose, Geranium, Jasmine, Narcissus, Peach;Patchouli, Sandalwood, Olibanum, Tonka Bean, Vanilla, White Musk, Clove, Benzoin;20%
Armani;Code;Eau de Toilette;Spicy, Amber;Top/Middle/Base;Bergamot, Lemon;Anise, Guaiac Wood, Olive Blossom;Leather, Tobacco, Tonka Bean;15%
Armani;Code EDP;Eau de Parfum;Oriental, Fougère;Top/Middle/Base;Lavender, Lemon, Bergamot;Tonka Bean;Vanilla, Suede, Musk, Cedarwood;16-20%
Giorgio Armani;Code Parfum;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Bergamot, Bergamot Leaf;Aldehydes, Clary Sage, Iris;Tonka Bean, Cedarwood;20%
Frederic Malle;Cologne Indélébile;Eau de Parfum;Citrus;Top/Middle/Base;Bergamot, Lemon;Neroli, Orange Blossom, Narcissus;Musk;15-20%
Acqua di Parma;Colonia Ebano;Eau de Toilette;Woody;Top/Middle/Base;Bergamot, Petitgrain, Red Pepper, Resins;Ebony Wood, Honey;Patchouli, Vetiver;10%
Acqua di Parma;Colonia Intensa;Eau de Cologne;Woody;Top/Middle/Base;Bergamot, Cardamom, Ginger, Sicilian Lemon;Artemisia, Myrtle, Neroli;Benzoin, Cedarwood, Guaiac Wood, Leather, Patchouli;15-20%
Acqua di Parma;Colonia Oud;Eau de Toilette;Amber, Woody;Top/Middle/Base;Bergamot, Orange;Agarwood, Amyris, Coriander;Atlas Cedarwood, Leather, Musk, Patchouli, Sandalwood;15%
Acqua di Parma;Colonia Pura;Eau de Cologne;Citrus, Aromatic;;Ozonic Notes, Bergamot, Orange, Petitgrain;Narcissus, Jasmine, Coriander;White Musk, Cedarwood, Patchouli;7-10%
Van Cleef & Arpels;Comète;Eau de Parfum;Floral;Top/Middle/Base;Cherry Blossom, Aldehydes;Iris, Heliotrope;Musk;15%
Hermes;Concentré d’Orange Verte;Eau de Toilette;Citrus;Top/Middle/Base;Orange;Cedarwood;Patchouli;15%
Davidoff;Cool Water for Men;Eau de Toilette;Aquatic, Aromatic;Top/Middle/Base;Sea Water, Calone, Coriander, Green Notes, Mint, Lavender, Rosemary;Geranium, Jasmine, Neroli, Sandalwood;Amber, Cedarwood, Musk, Oakmoss, Tobacco;10%
Chanel;Coromandel EDP;Eau de Parfum;Amber, Woody;Top/Middle/Base;Bitter Orange, Neroli, Citruses;Patchouli, Orris Root, Rose, Jasmine;Benzoin, White Chocolate, Woody Notes, Vanilla, Olibanum, Musk;15-20%
Montblanc;Cosmic Pepper;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Pink Pepper, Lemon, Tangerine, Wild Sage;Black Pepper, Rose, Agarwood;Tonka Bean, Amber, Oakmoss, White Musk, Labdanum;17-20%
Tom Ford;Costa Azzurra;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Agarwood, Ambrette, Cardamom, Celery Seeds, Driftwood, Seaweed;Artemisia, Juniper Berry, Lavender, Lemon, Myrtle, Yellow Mandarin;Frankincense, Mastic, Oakwood, Vanilla, Vetiver;15-20%
Tom Ford;Costa Azzurra Parfum;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Lemon;Cypress, Oakwood;Amber, Labdanum;20-25%
Versace;Crystal Noir;Eau de Parfum;Oriental, Floral;Top/Middle/Base;Black Pepper, Ginger, Cardamom;Coconut, Gardenia, Orange Blossom, Peony;Sandalwood, Musk, Amber;18-20%
Maison Francis Kurkdjian;Crystal Saffron;Eau de Parfum;Oriental, Spicy;Top/Middle/Base;Musk;Saffron;Ambroxan, Incense;15%
Chanel;Cuir de Russie;Eau de Parfum;Leather;Top/Middle/Base;Clary Sage, Orange Blossom, Bergamot, Lemon, Mandarin Orange;Iris, Ylang-Ylang, Carnation, Vetiver, Jasmine, Rose, Cedarwood;Leather, Birch, Tobacco, Musk, Amber, Heliotrope, Vanilla;15%
Nishane;Cuoium;Eau de Parfum;Woody, Leather;Top/Middle/Base;Black Pepper, Mandarin Orange;Violet;Cedarwood, Incense, Labdanum, Leather, Cade, Patchouli, Vanilla, Castoreum, Musk;10-14%
Dior;D. Homme Eau for Men;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Coriander, Grapefruit, Bergamot;Iris;Virginian Cedarwood, Amber;10-15%
Dior;D. Homme Intense;Eau de Parfum;Floral, Musk, Woody;Top/Middle/Base;Lavender;Ambrette, Iris, Pear;Cedarwood, Vetiver;20%
Dior;D. Homme Original;Eau de Toilette;Floral, Woody;Top/Middle/Base;Bergamot, Clary Sage, Lavender;Amber, Cocoa, Iris;Leather, Patchouli, Vetiver;15%
Dior;D. Homme Parfum;Parfum;Leather;Top/Middle/Base;Iris, Orange;Leather, Rose;Ambrette, Sandalwood, Agarwood, Cedarwood;20%
Marc Jacobs;Daisy;Eau de Toilette;Floral, Woody, Musk;Top/Middle/Base;Violet Leaf, Grapefruit, Strawberry;Violet, Gardenia, Jasmine;Musk, White Woods, Vanilla;13-15%
Xerjoff;Dama Bianca;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Kumquat, Lime;Violet, Iris, Lilac, Jasmine, Lily-of-the-valley;Vanilla, White Musk, Ambrette, Sandalwood, Cedarwood;20-22%
Cartier;Danger Parfum Cologne;Eau de Parfum;Fougère;Top/Middle/Base;Bergamot, Lavender, Lemon, Tarragon;Jasmine, Lily-of-the-valley, Violet;Ambergris, Cedarwood, Clove, Cumin, Galbanum, Leather, Musk, Oakmoss, Patchouli, Rhubarb, Tonka Bean, Vanilla, Vetiver, Woody Notes;20-22%
Roja Dove;Danger Pour Homme Parfum;Eau de Parfum;Amber;Top/Middle/Base;Lavender, Cumin, Lemon, Tarragon, Bergamot;Violet, Jasmine, Lily-of-the-valley;Ambergris, Woody Notes, Patchouli, Oakmoss, Vanilla, Tonka Bean, Castoreum, Musk, Vetiver, Cedarwood, Clove, Leather, Rhubarb, Galbanum;20-23%
Montale;Dark Aoud;Eau de Parfum;Woody;Top/Middle/Base;Saffron;Sandalwood;Agarwood;20-22%
Parfums de Marly;Darley;Eau de Parfum;Amber, Fougère;Top/Middle/Base;Mint, Bergamot, Lemon;Lavender, Cinnamon, Orange Blossom, Rose, Rosemary;Tonka Bean, Sandalwood, Guaiac Wood, Amber, Patchouli;20-23%
House of Sillage;Decibel;Eau de Toilette;Amber, Spicy;Top/Middle/Base;Licorice, Aldehydes, Lemon;Incense, Violet;Tonka Bean, Vanilla, Vetiver;12-15%
Bond No.9;Deep Blue;Eau de Parfum;Aquatic, Aromatic;Top/Middle/Base;Bergamot, Grapefruit, Green Mango;Clary Sage, Cypress, Geranium;Ambroxan, Fir Balsam, Musk, Patchouli, Sea Notes;18-20%
Parfums de Marly;Delina;Eau de Parfum;Floral;Top/Middle/Base;Lychee, Rhubarb, Bergamot, Nutmeg;Turkish Rose, Peony, Musk, Vanilla;Cashmeran, Incense, Cedarwood, Vetiver;20-22%
Parfums de Marly;Delina Exclusif;Eau de Parfum;Oriental;Top/Middle/Base;Bergamot, Lychee, Pear;Agarwood, Incense, Turkish Rose;Amber, Vanilla, Woody Notes;23-25%
Parfums de Marly;Delina La Rosée;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Lychee, Pear, Bergamot;Turkish Rose, Peony, Watery Notes, Floral Notes;White Musk, Woody Notes, Vetiver;21-23%
Xerjoff;Delphinus;Eau de Parfum;Oriental, Floral;Top/Middle/Base;Almond, Incense, Black Pepper, Pink Pepper;Iris, Heliotrope, Orchid;Bourbon Vanilla, Tonka Bean, Leather, Amberwood, Patchouli;15-18%
Amouage;Dia Man;Eau de Parfum;Woody, Floral, Musk;Top/Middle/Base;Incense, Cardamom, Labdanum, Bitter Orange;Peony, Plum, Orris Root, Ylang-Ylang;Vetiver, Leather, Rosewood, Amber, Patchouli;20%
Roja Dove;Diaghilev;Parfum;Chypre, Fruity;Top/Middle/Base;Cumin, Bergamot, Lemon, Tarragon, Orange, Lime;Peach, Ylang-Ylang, Jasmine, Rose, Heliotrope, Violet, Tuberose, Black Currant;Oakmoss, Civet, Leather, Musk, Clove, Labdanum, Peru Balsam, Patchouli, Benzoin, Guaiac Wood, Vanilla, Ambrette, Styrax, Vetiver, Nutmeg, Cedarwood, Sandalwood;18-20%
Etat Libre d'Orange;Divin’Enfant;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Bergamot, Neroli, Peach;Rose, Orange Blossom, Heliotrope;Vanilla, Patchouli, Musk, Leather, Tobacco;17-22%
Diptyque;Do Son EDT;Eau de Toilette;Floral;Top/Middle/Base;Orange Blossom, Iris, Rose;Tuberose, Pink Pepper;Benzoin, Musk;15%
Guy Laroche;Drakkar Noir;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Lavender, Lemon, Bergamot, Rosemary, Mint, Lemon Verbena, Basil, Artemisia;Juniper Berry, Coriander, Carnation, Wormwood, Cinnamon, Angelica, Jasmine;Oakmoss, Leather, Pine, Fir Balsam, Sandalwood, Vetiver, Patchouli, Cedarwood, Amber, Resins;15%
Nasomatto;Duro;Parfum;Woody;Top/Middle/Base;Spices;Leather;Woody Notes;22%
Versace;Dylan Blue;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Bergamot, Watery Notes, Grapefruit, Fig Leaf;Ambroxan, Black Pepper, Patchouli, Violet Leaf, Cypriol;Incense, Musk, Tonka Bean, Saffron;15%
Hermes;Eau de Citron Noir;Eau de Cologne;Citrus, Aromatic;Top/Middle/Base;Lemon, Lime, Citron;Black Tea, Smoke;Guaiac Wood;10%
Hermes;Eau des Merveilles;Eau de Toilette;Woody;Top/Middle/Base;Bitter Orange, Elemi, Lemon;Amber, Black Pepper, Pink Pepper, Violet;Fir Balsam, Cedarwood, Vetiver, Oakmoss, Benzoin;15-17%
Diptyque;Eau Rose EDT;Eau de Toilette;Floral, Fruity;Top/Middle/Base;Lychee, Black Currant, Bergamot;Rose, Geranium, Jasmine;Musk, Honey, Virginian Cedarwood;15%
Armani;Eau S.;Eau de Toilette;Citrus, Aromatic;Top/Middle/Base;Lemon, Bergamot, Basil, Rosemary, Caraway;Jasmine, Coriander, Clove, Orris Root, Rose, Lavender;Oakmoss, Sandalwood, Patchouli, Vetiver, Musk, Amber;15-18%
Paco Rabanne;Eau S. Extreme 2010;Eau de Toilette;Citrus;Top/Middle/Base;Bergamot, Sicilian Lemon, Grapefruit;Lavender, Basil, Elemi, Mint, Jasmine;Oakmoss, Virginian Cedarwood, Patchouli, Vetiver;15-17%
Tom Ford;Ébène Fumé;Eau de Parfum;Amber, Woody;Top/Middle/Base;Incense, Palo Santo, Black Pepper, Violet Leaf;Leather, Labdanum, Cade, Cypriol, Rose;Resins, Ebony Wood, Guaiac Wood;15%
Nishane;EGE;Fragrance;Aromatic, Spicy;Top/Middle/Base;Violet Leaf, Yuzu, Anise;Basil, Mint, Cardamom;Licorice, Olibanum;20-23%
Tom Ford;Electric Cherry;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Cherry, Ginger, Pink Pepper;Jasmine Sambac;Musk;18-22%
Roja Dove;Elysium Eau Intense;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Rhubarb, Grapefruit, Artemisia, Thyme, Lavender, Bergamot, Lime;Black Currant, Jasmine, Tuberose, Orange Blossom, Lily-of-the-valley, Apple, Rose;Juniper Berry, Vetiver, Musk, Galbanum, Dry Wood, Black Pepper, Cedarwood, Benzoin, Vanilla, Labdanum, Ambergris, Violet Leaf, Leather, Cypriol;20%
Roja Dove;Elysium Parfum Cologne;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Artemisia, Bergamot, Galbanum, Grapefruit, Lemon, Lime, Thyme;Apple, Black Currant, Cedarwood, Cypriol, Juniper Berry, Lily-of-the-valley, Pink Pepper, Rose, Vetiver;Ambergris, Benzoin, Labdanum, Leather, Vanilla;20-22%
Roja Dove;Elysium Pour Femme;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Blackberry, Bergamot, Mandarin Orange, Peach;Freesia, Magnolia, Lily-of-the-valley, Jasmine, Ylang-Ylang, Geranium, Peony, Cyclamen, Violet;Musk, Pink Pepper, Sandalwood, Cedarwood, Vanilla;17-20%
Vince Camuto;Enclave;Eau de Parfum;Amber, Woody, Spicy;Top/Middle/Base;Cardamom, Spearmint, Pink Pepper, Cinnamon;Rose, Patchouli, Frankincense, Vetiver;Leather, Amber, Labdanum;12-14%
Lalique;Encre Indigo;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Juniper Berry, Pink Pepper, Bergamot;Black Tea, Saffron, Bay Leaf;Vetiver, Patchouli, Ambergris;17-18%
Lalique;Encre Noire A L’Extreme;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Cypress, Elemi, Bergamot;Vetiver, Incense, Orris Root;Benzoin, Sandalwood, Patchouli;20%
Jo Malone;English Pear & Freesia;Eau de Cologne;Chypre, Fruity;Top/Middle/Base;Pear, Melon;Freesia, Rose;Musk, Patchouli, Rhubarb, Amber;8-10%
Roja Dove;Enigma Pour Homme;Eau de Parfum;Oriental;Top/Middle/Base;Black Pepper, Neroli, Bergamot, Cardamom;Cognac, Tobacco, Ginger, Jasmine, Rose, Geranium;Heliotrope, Vanilla, Benzoin, Sandalwood, Patchouli, Ambergris;15-20%
Amouage;Epic 56 Woman;Parfum;Amber, Spicy;Top/Middle/Base;Cumin, Pink Pepper, Cinnamon;Damask Rose, Jasmine Tea, Geranium;Olibanum, Agarwood, Patchouli, Sandalwood, Amber, Guaiac Wood, Musk, Iris, Vanilla;52-56%
Amouage;Epic Man;Eau de Parfum;Amber, Woody;Top/Middle/Base;Pink Pepper, Olibanum, Saffron, Nutmeg, Cardamom, Cumin, Mace, Myrtle;Myrrh, Geranium;Incense, Agarwood, Leather, Castoreum, Patchouli, Cedarwood, Sandalwood, Musk;20%
Xerjoff;Erba Pura;Eau de Parfum;Amber;Top/Middle/Base;Orange, Bergamot, Lemon;Fruity Notes;Musk, Vanilla, Amber;18-20%
Creed;Erolfa;Eau de Parfum;Chypre;Top/Middle/Base;Lemon, Lime, Mandarin Orange, Basil, Bergamot, Ginger;Violet, Floral Notes, Lavender, Coriander, Watermelon, Cucumber, Jasmine;Sandalwood, Musk, Cedarwood;20-22%
Versace;Eros EDP;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Mint, Green Apple, Lemon;Tonka Bean, Ambroxan, Geranium;Vanilla, Virginian Cedarwood, Atlas Cedarwood, Vetiver, Oakmoss;15-20%
Calvin Klein;Eternity for Men;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Lavender, Lemon, Bergamot, Mandarin Orange;Clary Sage, Juniper Berry, Basil, Geranium, Coriander, Jasmine, Orange Blossom, Lily-of-the-valley, Lily;Sandalwood, Musk, Vetiver, Rosewood, Amber;10-13%
Calvin Klein;Euphoria for Women;Eau de Parfum;Floral, Oriental;Top/Middle/Base;Green Notes, Passionfruit, Peach, Persimmon, Pomegranate, Raspberry;Champaca, Lotus, Orchid;Amber, Mahogany, Musk, Patchouli, Vanilla, Violet;20%
Mont Blanc;Explorer;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Bergamot, Pink Pepper, Clary Sage;Vetiver, Leather;Ambroxan, Akigalawood, Patchouli, Cocoa;17-20%
Dior;Fahrenheit;Eau de Toilette;Floral, Musk, Woody;Top/Middle/Base;Bergamot, Chamomile, Hawthorn, Lavender, Lemon, Mandarin Orange, Nutmeg Flower;Carnation, Cedarwood, Honeysuckle, Jasmine, Lily-of-the-valley, Nutmeg, Sandalwood, Violet Leaf;Amber, Leather, Musk, Patchouli, Tonka Bean, Vetiver;15%
Dior;Fahrenheit Le Parfum;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Lavender, Pink Pepper, Mandarin Orange, Lemon;Leather, Violet Leaf;Vanilla, Benzoin, Birch, Amber, Guaiac Wood, Patchouli, Cedarwood, Vetiver;20-22%
Dior;Fahrenheit Vintage;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Nutmeg Flower, Lavender, Mandarin Orange, Chamomile, Hawthorn, Bergamot, Lemon, Cedarwood;Violet Leaf, Nutmeg, Cedarwood, Sandalwood, Carnation, Honeysuckle, Jasmine, Lily-of-the-valley;Leather, Vetiver, Musk, Amber, Patchouli, Tonka Bean;15%
Maison Francis Kurkdjian;Féminin Pluriel;Eau de Parfum;Chypre, Floral;Top/Middle/Base;Jasmine, Violet;Lily-of-the-valley, Rose, Iris;Patchouli, Vetiver;20-22%
Dior;Fève Délicieuse;Eau de Parfum;Amber;Top/Middle/Base;Lavender, Mint, Bergamot;Sour Cherry, Jasmine, Freesia;Tonka Bean, Vanilla, Cocoa, Caramel, Praline, Benzoin, Milk, Sandalwood, Leather, Cedarwood;15-18%
Acqua di Parma;Fico di Amalfi;Eau de Toilette;Fruity, Floral;Top/Middle/Base;Grapefruit, Bergamot, Citron, Lemon;Fig Nectar, Jasmine, Pink Pepper;Fig Tree, Cedarwood, Benzoin;14-16%
Tom Ford;Fleur du Désert;Eau de Parfum;Amber, Floral;Top/Middle/Base;Honey, Cinnamon;Jasmine, Orange Blossom, Rose;Agarwood, Ambroxan, Ambrette;20
Ex Nihilo;Fleur Narcotique;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Lychee, Bergamot, Peach;Peony, Orange Blossom, Jasmine;Musk, Oakmoss, Woody Notes;17%
Viktor&Rolf;Flowerbomb;Eau de Parfum;Floral;Top/Middle/Base;Bergamot, Osmanthus, Tea;Freesia, Jasmine, Orange Blossom, Orchid, Rose;Musk, Patchouli, Vanilla;18-20%
Narciso Rodriguez;For Him Vetiver Musc;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Cypress, Cardamom, Nutmeg;Musk, Geranium, Lavender, Red Algae, Frankincense;Vetiver, Patchouli, Cedarwood;15%
Tom Ford;Fougère d’Argent;Eau de Parfum;Amber, Fougère;Top/Middle/Base;Ginger, Lavender, Mandarin Orange;Labdanum, Akigalawood;Tonka Bean;17-20%
Creed;Fougère Platine;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Clary Sage, Lavender, Basil, Bergamot;Artemisia, Honey, Olibanum, Labdanum;Tobacco, Woody Notes, Cedarwood;18-20%
Tom Ford;Fucking Fabulous;Eau de Parfum;Leather;Top/Middle/Base;Clary Sage, Lavender;Bitter Almond, Leather, Orris Root, Vanilla;Amber, Cashmere Wood, Leather, Tonka Bean, White Woods;25%
Chanel;Gabrielle;Eau de Parfum;Floral;Top/Middle/Base;Grapefruit, Mandarin Orange, Black Currant;Orange Blossom, Jasmine, Ylang-Ylang, Tuberose, Lily-of-the-valley, Pear, Pink Pepper;Musk, Sandalwood, Cashmeran, Iris;15-20%
Chanel;Gabrielle Essence;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Citruses, Peach, Red Fruits, Black Currant, Petitgrain;White Flowers, Tuberose, Ylang-Ylang, Jasmine, Orange Blossom, Coconut;Musk, Vanilla, Sandalwood;20%
Parfums de Marly;Galloway;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Citruses, Pepper;Iris, Orange Blossom;Musk, Amber, Sandalwood;20-22%
Marc-Antoine Barrois;Ganymede;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Saffron, Mandarin Orange;Osmanthus, Immortelle, Violet Leaf;Mineral notes, Suede, Akigalawood, Musk, Cedarwood, Patchouli;15-17%
Chanel;Gardénia;Eau de Parfum;Floral;Top/Middle/Base;Orange Blossom, Green Notes;Gardenia, Tuberose, Jasmine, Fruity Notes;Coconut, Musk, Vanilla, Sandalwood, Vetiver, Patchouli;16-18%
Maison Francis Kurkdjian;Gentle Fluidity Silver;Eau de Parfum;Aromatic, Spicy;Top/Middle/Base;Juniper Berry, Nutmeg;Coriander, Woody Notes;Musk, Amber, Vanilla;20%
Givenchy;Gentleman 2017;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Cardamom, Pear, Pineapple;Geranium, Iris, Lavender;Black Vanilla Husk, Leather, Patchouli;15%
Armani;Goddess;Eau de Parfum;Gourmand, Aromatic;Top/Middle/Base;Ginger;Lavender;Vanilla;20%
Parfums de Marly;Godolphin;Eau de Parfum;Leather;Top/Middle/Base;Fruity Notes, Saffron, Mate, Thyme, Cypress, Green Notes;Rose, Orris Root, Jasmine;Leather, Amber, Vetiver, Musk, Cedarwood, Vanilla;20-22%
Memo Paris;Gold Incense;Eau de Parfum;Oriental, Floral;Top/Middle/Base;Incense, Mandarin Orange, Coffee, Pink Pepper;Jasmine, Violet, Rose;Patchouli, Vanilla, Benzoin, White Musk;15-20%
Amouage;Gold Man;Eau de Parfum;Woody, Chypre;Top/Middle/Base;Rose, Lily-of-the-valley, Frankincense;Jasmine, Iris, Myrrh;Ambergris, Civet, Musk, Cedarwood, Sandalwood, Oakmoss, Patchouli;20-22%
Arabian Oud;Golden Dallah;Eau de Parfum;Amber;Top/Middle/Base;Spicy Notes;Incense, Coffee, Agarwood, Rose;Amber, Cocoa, Hazelnut, Tonka Bean;17-20%
Carolina Herrera;Good Girl;Eau de Parfum;Floral, Oriental;Top/Middle/Base;Almond, Bergamot, Coffee, Lemon;Bulgarian Rose, Jasmine, Orange Blossom, Orris Root, Tuberose;Amber, Cashmere Wood, Cedarwood, Cinnamon, Cocoa, Musk, Patchouli, Praline, Sandalwood, Tonka Bean, Vanilla;18-20%
Maison Francis Kurkdjian;Grand Soir;Eau de Parfum;Amber;Top/Middle/Base;Lavender;Tonka Bean, Vanilla;Labdanum, Benzoin, Amber;20-25%
